Temparature,Humidity ,Moisture,Soil Type,soil_id,Crop Type,crop_id,Nitrogen,Potassium,Phosphorous,Fertilizer_Name,fert_id
25,50,56,Loamy,02,Sugarcane,13,11,13,15,17-17-17,34
32,62,34,Red,04,Ground Nuts,21,15,0,37,DAP,31
28,54,41,Clayey,05,Paddy,15,36,0,0,Urea,30
30,60,49,Loamy,02,Wheat,11,13,0,9,20-20,35
34,65,64,Black,03,Cotton,12,24,0,20,28-28,33
28,54,47,Sandy,01,Barley,16,5,18,15,10-26-26,36
27,53,35,Black,03,Oil seeds,19,37,0,0,Urea,30
36,68,62,Red,04,Cotton,12,15,0,40,DAP,31
34,65,57,Black,03,Sugarcane,13,9,0,13,20-20,35
29,58,55,Loamy,02,Sugarcane,13,8,8,33,14-35-14,32
25,50,40,Clayey,05,Pulses,20,6,19,16,10-26-26,36
30,60,38,Sandy,01,Millets,18,10,0,14,20-20,35
26,52,39,Clayey,05,Pulses,20,21,0,23,28-28,33
31,62,32,Red,04,Tobacco,14,39,0,0,Urea,30
34,65,48,Loamy,02,Wheat,11,23,0,19,28-28,33
27,53,34,Black,03,Oil seeds,19,42,0,0,Urea,30
33,64,31,Red,04,Ground Nuts,21,13,0,39,DAP,31
29,58,42,Clayey,05,Paddy,15,9,10,22,14-35-14,32
30,60,47,Sandy,01,Maize,17,22,0,21,28-28,33
27,53,59,Loamy,02,Sugarcane,13,10,0,15,20-20,35
26,52,36,Clayey,05,Pulses,20,7,16,20,10-26-26,36
34,65,63,Red,04,Cotton,12,14,0,38,DAP,31
28,54,43,Clayey,05,Paddy,15,10,8,29,14-35-14,32
30,60,40,Sandy,01,Millets,18,41,0,0,Urea,30
29,58,65,Black,03,Cotton,12,14,0,35,DAP,31
26,52,59,Loamy,02,Sugarcane,13,11,0,9,20-20,35
31,62,44,Sandy,01,Barley,16,21,0,28,28-28,33
35,67,28,Clayey,05,Pulses,20,8,7,31,14-35-14,32
29,58,30,Red,04,Tobacco,14,13,17,16,10-26-26,36
27,53,30,Black,03,Millets,18,35,0,0,Urea,30
36,68,50,Loamy,02,Wheat,11,12,18,19,10-26-26,36
29,58,61,Loamy,02,Cotton,12,11,0,38,DAP,31
30,60,26,Black,03,Oil seeds,19,8,9,30,14-35-14,32
34,65,45,Clayey,05,Paddy,15,6,19,21,10-26-26,36
36,68,41,Red,04,Ground Nuts,21,41,0,0,Urea,30
28,54,25,Sandy,01,Maize,17,9,10,30,14-35-14,32
25,50,32,Clayey,05,Pulses,20,24,0,19,28-28,33
30,60,27,Red,04,Tobacco,14,4,17,17,10-26-26,36
38,72,51,Loamy,02,Wheat,11,39,0,0,Urea,30
36,60,43,Sandy,01,Millets,18,15,0,41,DAP,31
29,58,57,Black,03,Sugarcane,13,12,0,10,20-20,35
